"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.210276110E-1,2.513911724E-1,4.848258495E-1,1.016338634E1,1.017804871E1
8.309748930E-1,2.741360962E-1,4.477157295E-1,1.004726696E1,1.006097278E1
8.409375340E-1,3.423708379E-1,4.465186298E-1,9.946710587E0,9.962612517E0
8.509818550E-1,2.932897210E-1,4.010287821E-1,9.780313492E0,9.792924739E0
8.609325150E-1,2.992752194E-1,4.716577232E-1,1.009874249E1,1.011417947E1
8.709613450E-1,3.387795389E-1,4.944026470E-1,1.015141487E1,1.016909187E1
8.810647600E-1,2.669534981E-1,5.051765442E-1,9.913191795E0,9.929644459E0
8.909989680E-1,3.016694188E-1,3.711012602E-1,9.938331604E0,9.949831941E0
9.009785720E-1,3.722983599E-1,6.991068721E-1,1.017655468E1,1.020733176E1
9.109178740E-1,3.531447649E-1,2.298433632E-1,9.911994934E0,9.920946667E0
9.210320250E-1,3.088520169E-1,5.829881430E-1,1.017176628E1,1.019313956E1
9.310026000E-1,3.483563364E-1,3.303998411E-1,1.011071396E1,1.012210714E1
9.409508880E-1,2.310404629E-1,4.034229815E-1,9.963470459E0,9.974310672E0
9.509640320E-1,2.980781198E-1,5.817909837E-1,1.001733971E1,1.003864663E1
9.614251040E-1,3.399766386E-1,2.885012925E-1,9.975440979E0,9.985401336E0
9.711606400E-1,3.040636182E-1,7.266402245E-1,1.009994030E1,1.013060979E1
9.810839080E-1,4.477157295E-1,5.446808934E-1,9.771934509E0,9.797337940E0
9.910385420E-1,3.639186621E-1,6.308721304E-1,9.843760490E0,9.870666494E0
1.000942859E0,4.537012279E-1,3.016694188E-1,9.864110947E0,9.879146421E0
1.010986517E0,2.956839204E-1,4.872200489E-1,9.909601212E0,9.925976452E0
1.021050346E0,2.370259613E-1,4.896142483E-1,1.000895977E1,1.002373080E1
1.031005761E0,3.100491166E-1,5.075707436E-1,1.000536919E1,1.002303203E1
1.040992468E0,2.609679997E-1,5.099649429E-1,1.002931118E1,1.004565833E1
1.050962322E0,3.244143426E-1,3.507505357E-1,9.336189270E0,9.348406318E0
1.061042249E0,3.663128614E-1,4.776432514E-1,9.402029991E0,9.421278902E0
1.071011712E0,3.196259141E-1,4.010287821E-1,9.911994934E0,9.925252056E0
1.080970444E0,2.645592988E-1,5.470750928E-1,1.004726696E1,1.006562746E1
1.090960310E0,2.849099934E-1,5.686228871E-1,9.878476143E0,9.898929063E0
1.101062243E0,3.555389643E-1,4.189853072E-1,9.628282547E0,9.643950510E0
1.111160709E0,5.051765442E-1,5.099649429E-1,9.733627319E0,9.760059855E0
1.121185942E0,3.387795389E-1,5.183446407E-1,1.033936024E1,1.035788699E1
1.131083059E0,2.549824715E-1,5.877765417E-1,9.945513725E0,9.966129669E0
1.141093617E0,3.064578176E-1,3.770867586E-1,9.358934402E0,9.371540106E0
1.151093896E0,2.944868207E-1,4.094084799E-1,9.706093788E0,9.719186922E0
1.161097536E0,3.040636182E-1,5.279214978E-1,9.955090523E0,9.973714609E0
1.171012856E0,2.633621991E-1,4.620809257E-1,1.001494598E1,1.002905885E1
1.181005516E0,4.046200812E-1,5.015852451E-1,1.009515190E1,1.011570052E1
1.190970346E0,4.010287821E-1,4.788403511E-1,9.580398560E0,9.600736885E0
1.200954761E0,3.471592367E-1,4.920084476E-1,9.403226852E0,9.422487309E0
1.210970968E0,4.094084799E-1,4.656722248E-1,9.856928825E0,9.876411889E0
1.220951572E0,4.465186298E-1,4.405331016E-1,9.958682060E0,9.978416542E0
1.230925374E0,2.920926213E-1,4.752490520E-1,9.803058624E0,9.818917361E0
1.240916275E0,2.298433632E-1,6.320692301E-1,9.818621635E0,9.841629454E0
1.250984725E0,3.830722570E-1,4.369418025E-1,9.750386238E0,9.767686230E0
1.260963950E0,2.693476975E-1,5.698199868E-1,1.015380955E1,1.017335202E1
1.270965063E0,3.375824392E-1,5.698199868E-1,9.606734276E0,9.629537900E0
1.280986119E0,3.603273630E-1,3.950432837E-1,9.757569313E0,9.772208241E0
1.290959647E0,3.734954596E-1,5.770025849E-1,9.971850395E0,9.995510550E0
1.300907911E0,4.213795066E-1,2.406172752E-1,9.819818497E0,9.831800073E0
1.310930543E0,3.603273630E-1,6.667851806E-1,9.958682060E0,9.987481497E0
1.320961859E0,4.393360019E-1,4.477157295E-1,9.787496567E0,9.807576385E0
1.330952517E0,4.465186298E-1,5.434837937E-1,9.809044838E0,9.834231752E0
1.340909346E0,3.351882398E-1,4.273650050E-1,1.005684471E1,1.007150026E1
1.350902261E0,3.184288144E-1,6.021417379E-1,9.842563629E0,9.866105127E0
1.361022218E0,2.693476975E-1,4.213795066E-1,9.792284966E0,9.805047359E0
1.371007197E0,2.825157940E-1,6.596025825E-1,1.011071396E1,1.013614461E1
1.380963686E0,2.885012925E-1,4.620809257E-1,1.005445004E1,1.006919646E1
1.391029931E0,5.231330991E-1,5.853823423E-1,9.806650162E0,9.838024605E0
1.401034053E0,5.159504414E-1,3.627215624E-1,9.683348656E0,9.703865878E0
1.411091114E0,3.770867586E-1,5.195417404E-1,9.914389610E0,9.935151704E0
1.421044145E0,3.854664862E-1,4.345476031E-1,9.958682060E0,9.975608473E0
1.430963660E0,3.124433160E-1,5.015852451E-1,9.965864182E0,9.983369044E0
1.441021918E0,2.932897210E-1,6.643909812E-1,9.804255486E0,9.831116918E0
1.450974547E0,3.842693865E-1,3.950432837E-1,9.791088104E0,9.806585972E0
1.461036861E0,2.585737705E-1,6.392518282E-1,1.012747288E1,1.015092164E1
1.471083018E0,3.687070608E-1,4.153940082E-1,9.800664902E0,9.816390864E0
1.481016597E0,2.849099934E-1,5.374982953E-1,1.005325317E1,1.007164224E1
1.490962886E0,3.746925592E-1,6.057330370E-1,1.012388229E1,1.014890633E1
1.501238031E0,3.794809580E-1,5.171475410E-1,9.806650162E0,9.827605750E0
1.511042603E0,3.986345828E-1,5.374982953E-1,9.880870819E0,9.903505546E0
1.521070389E0,3.986345828E-1,4.165911078E-1,9.737217903E0,9.754274457E0
1.531152282E0,3.208230138E-1,5.015852451E-1,9.987412453E0,1.000514481E1
1.541032229E0,3.794809580E-1,4.525041282E-1,1.009634876E1,1.011360589E1
1.550990202E0,3.986345828E-1,5.590460896E-1,1.001494598E1,1.003845532E1
1.561025689E0,3.495534360E-1,4.141969085E-1,9.752780914E0,9.767828942E0
1.570988432E0,3.866635859E-1,6.428431273E-1,9.798270226E0,9.826945376E0
1.581015304E0,2.849099934E-1,5.243301988E-1,1.019810200E1,1.021554601E1
1.590960740E0,3.495534360E-1,6.955155730E-1,1.006402683E1,1.009408567E1
1.600974958E0,4.094084799E-1,5.554547906E-1,9.859322548E0,9.883440010E0
1.610974067E0,4.201824069E-1,3.926490843E-1,9.747992516E0,9.764941610E0
1.621026621E0,4.022258818E-1,5.099649429E-1,9.898826599E0,9.920111791E0
1.631007898E0,3.902548850E-1,4.153940082E-1,9.935936928E0,9.952270781E0
1.641007537E0,3.363853395E-1,4.501099288E-1,1.012747288E1,1.014304988E1
1.650967356E0,2.896983922E-1,5.386953950E-1,9.910798073E0,9.929654391E0
1.660943266E0,2.549824715E-1,6.177040339E-1,9.824606895E0,9.847308007E0
1.670934721E0,3.471592367E-1,5.638344884E-1,9.969455719E0,9.991420129E0
1.680901948E0,2.454056740E-1,6.967126727E-1,1.013944435E1,1.016631518E1
1.691528562E0,4.333505034E-1,4.920084476E-1,9.824606895E0,9.846459548E0
1.701284869E0,4.249708056E-1,5.243301988E-1,1.000177765E1,1.002452385E1
1.711098022E0,3.040636182E-1,2.896983922E-1,9.840168953E0,9.849127112E0
1.721020099E0,2.873041928E-1,5.446808934E-1,9.897629738E0,9.916768395E0
1.730990137E0,2.489969730E-1,4.058171809E-1,1.013345909E1,1.014463800E1
1.741038156E0,3.687070608E-1,7.218518257E-1,1.001853657E1,1.005127305E1
1.750954166E0,3.806780577E-1,4.141969085E-1,9.619902611E0,9.636337536E0
1.760913171E0,2.633621991E-1,5.865794420E-1,9.745597839E0,9.766786183E0
1.770959173E0,2.789244950E-1,4.704606235E-1,9.876082420E0,9.891215095E0
1.780945174E0,3.040636182E-1,5.566518903E-1,1.002571964E1,1.004576380E1
1.790937175E0,2.813186944E-1,7.457938194E-1,1.028908157E1,1.031991028E1
1.801327175E0,3.938461840E-1,5.590460896E-1,9.744400978E0,9.768367201E0
1.811139675E0,4.213795066E-1,5.614402890E-1,9.762357712E0,9.787563741E0
1.821027425E0,3.208230138E-1,3.878606856E-1,1.003888798E1,1.005149915E1
1.830954300E0,2.980781198E-1,4.381389022E-1,9.823410034E0,9.837692868E0
1.840935738E0,2.154781520E-1,5.793967843E-1,9.908403397E0,9.927667870E0
1.851065957E0,2.932897210E-1,3.818751574E-1,9.971850395E0,9.983468726E0
1.861109066E0,1.640028208E-1,6.715735793E-1,1.011071396E1,1.013432014E1
1.871159121E0,1.903390288E-1,5.339069963E-1,9.885659218E0,9.901895970E0
1.881149648E0,3.136404157E-1,6.344634295E-1,1.012388229E1,1.014859137E1
1.891108412E0,3.435679376E-1,5.817909837E-1,9.994594574E0,1.001740687E1
1.901099794E0,3.016694188E-1,5.781996846E-1,9.824606895E0,9.846228718E0
1.911006485E0,3.088520169E-1,5.171475410E-1,1.012268448E1,1.014059033E1
1.920968330E0,3.196259141E-1,3.914519846E-1,9.986215591E0,9.998994810E0
1.930916753E0,3.256114423E-1,4.465186298E-1,9.854534149E0,9.870017477E0
1.940997464E0,1.975216419E-1,4.608838260E-1,1.004247856E1,1.005498903E1
1.950967820E0,1.771709323E-1,5.710170865E-1,9.945513725E0,9.963467936E0
1.961016498E0,3.639186621E-1,7.098808289E-1,9.961075783E0,9.992967444E0
1.970998837E0,2.968810201E-1,5.901707411E-1,1.000177765E1,1.002357202E1
1.981018006E0,3.902548850E-1,5.793967843E-1,9.853337288E0,9.878069407E0
1.990964591E0,2.681505978E-1,4.141969085E-1,9.992200851E0,1.000437613E1
2.000911383E0,2.466027737E-1,4.944026470E-1,1.021845245E1,1.023337762E1
