"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.001032420E0,-5.446808934E-1,3.590105534E0,1.058356857E1,1.118916703E1
9.011041298E0,8.858546615E-2,2.868253708E0,9.646238327E0,1.006402706E1
9.021029737E0,-2.585737705E-1,3.468001127E0,1.018493366E1,1.076228442E1
9.030971956E0,-3.782838583E-1,3.246537447E0,1.069968700E1,1.118777932E1
9.041094566E0,-4.668693244E-2,3.580528736E0,1.030584145E1,1.091021235E1
9.051235871E0,-2.633621916E-2,3.110068083E0,9.780313492E0,1.026293082E1
9.061163023E0,-2.346317619E-1,3.365050554E0,1.009036350E1,1.063926938E1
9.071045099E0,-9.696517140E-2,2.911349297E0,9.914389610E0,1.033346400E1
9.081196637E0,-7.422025502E-2,3.500322819E0,1.034534550E1,1.092171882E1
9.091052406E0,2.920926213E-1,2.591723442E0,9.026140213E0,9.395400771E0
9.101107791E0,-2.861070931E-1,3.746925592E0,1.088523769E1,1.151562887E1
9.111296483E0,-3.268085420E-1,2.870647907E0,9.903614998E0,1.031644383E1
9.121130829E0,-3.268085420E-1,2.870647907E0,9.903614998E0,1.031644383E1
9.131022002E0,9.576806799E-3,3.078943491E0,1.000656605E1,1.046954387E1
9.140981589E0,-2.681505978E-1,3.353079557E0,1.035971069E1,1.089213721E1
9.150941882E0,-2.166752517E-1,3.433285236E0,1.038484955E1,1.093981242E1
9.160988529E0,7.661445439E-2,2.844311714E0,9.606734276E0,1.001924759E1
9.170932352E0,-2.777273953E-1,3.586514235E0,1.025915432E1,1.087154378E1
9.180917264E0,-1.699883193E-1,2.943670988E0,1.013106441E1,1.055142460E1
9.190934220E0,-1.209071875E-1,3.532644510E0,1.030943298E1,1.089855973E1
9.200883698E0,-2.023100406E-1,3.385401249E0,9.932345390E0,1.049539689E1
9.210866937E0,1.197100803E-2,3.008314371E0,1.010592556E1,1.054418466E1
9.220846056E0,-1.699883193E-1,3.375824451E0,1.007958889E1,1.063123694E1
9.230865616E0,-1.951274425E-1,3.102885485E0,1.046266174E1,1.091481854E1
9.240897396E0,-2.537853718E-1,3.241749048E0,9.985017776E0,1.050113917E1
9.250882786E0,1.376665980E-1,3.493140221E0,1.021845245E1,1.079989589E1
9.260874981E0,2.011129409E-1,3.035847664E0,9.785101891E0,1.024719652E1
9.270856078E0,-2.094926536E-1,3.306392431E0,1.006163311E1,1.059304389E1
9.280877127E0,-1.675941199E-1,3.270479441E0,1.005205631E1,1.057203669E1
9.290928651E0,1.795651205E-2,3.058592558E0,9.762357712E0,1.023029516E1
9.300891913E0,1.436521020E-2,3.497928619E0,1.024359226E1,1.082436573E1
9.310924044E0,-6.464344263E-2,2.875436306E0,9.756371498E0,1.017148453E1
9.321080110E0,-4.321534038E-1,3.557783842E0,1.012747288E1,1.074291810E1
9.330969143E0,2.885012925E-1,3.112462282E0,9.495404243E0,9.996667255E0
9.340920659E0,-5.111620426E-1,3.228580952E0,9.753977776E0,1.028713294E1
9.350890417E0,-2.489969730E-1,3.239354849E0,1.001255131E1,1.052647154E1
9.360943296E0,-1.460463107E-1,3.331531763E0,9.586383820E0,1.014983685E1
9.370956236E0,-4.106055796E-1,3.351882458E0,9.455899239E0,1.004080392E1
9.380935706E0,-2.298433632E-1,2.873042107E0,9.627084732E0,1.004927656E1
9.390894441E0,1.927332431E-1,2.908955097E0,1.010831928E1,1.052032721E1
9.400908308E0,-4.824316502E-1,3.456030130E0,9.403226852E0,1.002983349E1
9.410900742E0,4.129997790E-1,2.810792685E0,1.005445004E1,1.044811418E1
9.421060959E0,2.274491638E-1,3.628412724E0,1.036569595E1,1.098475146E1
9.430959567E0,-2.513911761E-2,3.020285368E0,9.053673744E0,9.544200540E0
9.441366871E0,-1.472434103E-1,3.493140221E0,1.033936024E1,1.091448942E1
9.451135523E0,-1.125274822E-1,2.813186884E0,1.028788471E1,1.066617339E1
9.461027849E0,-2.011129409E-1,3.992331266E0,9.825803757E0,1.060780726E1
9.471013512E0,-4.058171809E-1,2.656366825E0,9.884461403E0,1.024321969E1
9.481002844E0,-1.029506698E-1,3.011905670E0,9.811438560E0,1.026384437E1
9.490989010E0,-8.978256583E-2,3.321954966E0,1.000895977E1,1.054621835E1
9.500920593E0,-2.286462635E-1,3.500322819E0,9.849745750E0,1.045571759E1
9.510898884E0,3.495534360E-1,2.797624588E0,9.276334763E0,9.695322458E0
9.520967530E0,-3.830722570E-1,3.485957623E0,1.055124664E1,1.111878818E1
9.531053353E0,1.687912196E-1,3.272873640E0,1.006761837E1,1.058759330E1
9.540965264E0,1.568202078E-1,3.726574898E0,9.831789017E0,1.051551370E1
9.550939220E0,-4.249708056E-1,2.628833532E0,1.017296314E1,1.051572846E1
9.561035198E0,-3.100491166E-1,3.745728493E0,1.079904652E1,1.143442251E1
9.571081687E0,2.669534981E-1,2.604891539E0,9.368511200E0,9.727575556E0
9.581106431E0,-2.250549644E-1,3.215412855E0,1.024359226E1,1.073874816E1
9.590999803E0,-2.537853718E-1,3.434482336E0,1.092593956E1,1.145583830E1
9.601104489E0,2.322375625E-1,2.773682594E0,9.336189270E0,9.742262545E0
9.611005332E0,-4.716577232E-1,3.371036053E0,9.983820915E0,1.054812899E1
9.620945754E0,4.836287498E-1,3.150769472E0,1.065898609E1,1.112543166E1
9.631182465E0,-6.272808313E-1,3.359065056E0,1.007360363E1,1.063740050E1
9.641135820E0,3.184288144E-1,2.991554976E0,9.721655846E0,1.017651170E1
9.651049998E0,-2.645592988E-1,3.780444384E0,1.071644688E1,1.136679308E1
9.700898920E0,-1.424549967E-1,2.978386879E0,9.714473724E0,1.016179519E1
9.710871048E0,-1.077390742E-2,3.525461912E0,1.046864700E1,1.104633730E1
9.720996112E0,-2.489969730E-1,2.831143618E0,1.024359226E1,1.063054825E1
9.730993644E0,3.830722719E-2,3.501519918E0,9.755174637E0,1.036462934E1
9.760966359E0,-3.902548850E-1,3.335123062E0,9.903614998E0,1.045738661E1
9.771029267E0,-1.185129806E-1,3.259705544E0,9.075222015E0,9.643618625E0
9.780962221E0,3.100491166E-1,3.037044764E0,1.006761837E1,1.052029995E1
9.790922698E0,-2.537853718E-1,3.093308687E0,9.983820915E0,1.045512533E1
9.800879937E0,-1.879448295E-1,3.508702517E0,9.159018517E0,9.809889744E0
9.810902556E0,3.842693865E-1,2.667140722E0,9.461885452E0,9.838118667E0
9.820898366E0,-4.788403399E-3,3.329137564E0,1.041717148E1,1.093620782E1
9.830901271E0,-1.999158412E-1,3.020285368E0,9.823410034E0,1.027917675E1
9.840908723E0,-7.984662652E-1,4.052186489E0,1.003769016E1,1.085416913E1
9.850904949E0,4.094084799E-1,2.430114746E0,9.832986832E0,1.013709539E1
9.860910562E0,3.950432688E-2,3.616441727E0,1.027950478E1,1.089717531E1
9.870914369E0,-3.184288144E-1,2.761711597E0,9.483432770E0,9.882507018E0
9.880898772E0,4.345476031E-1,3.658340216E0,1.044470501E1,1.107538476E1
9.890961474E0,7.900865376E-2,2.846705914E0,9.251194954E0,9.679596324E0
9.900951825E0,-1.903390288E-1,3.142389774E0,9.557653427E0,1.006278199E1
9.910932000E0,3.591302549E-3,3.187879562E0,9.679757118E0,1.019118673E1
9.920887088E0,-1.819593310E-1,2.797624588E0,9.744400978E0,1.013968259E1
9.930917632E0,-3.746925592E-1,3.750516891E0,9.538499832E0,1.025620546E1
9.940943904E0,1.604115069E-1,3.129221678E0,9.917980194E0,1.040115817E1
9.950968040E0,-1.963245422E-1,3.089717388E0,9.445125580E0,9.939582189E0
9.961099108E0,2.789244950E-1,3.257311344E0,1.044949341E1,1.094896290E1
9.971133642E0,-1.149216816E-1,3.150769472E0,9.688137054E0,1.018825573E1
9.981090409E0,1.089361757E-1,2.918531895E0,9.372102737E0,9.816618829E0
9.991017792E0,-2.214636505E-1,3.028665066E0,1.007480049E1,1.052252171E1
1.000100898E1,-1.328781992E-1,3.281253338E0,1.006163311E1,1.058398512E1
1.001094458E1,-4.812345505E-1,3.410540342E0,9.326612473E0,9.942287078E0
1.002097138E1,5.889736414E-1,2.913743496E0,9.561244011E0,1.001270084E1
1.003103178E1,4.429273307E-2,3.057395458E0,1.026154804E1,1.070742719E1
1.004099748E1,2.130839527E-1,2.996343374E0,1.017056847E1,1.060490176E1
1.005103083E1,5.985504016E-3,3.408146143E0,9.649829865E0,1.023399787E1
1.006096350E1,6.069301367E-1,3.282450438E0,1.019331360E1,1.072597255E1
1.007095884E1,-1.173158810E-1,2.817975283E0,1.041238308E1,1.078760720E1
1.008093401E1,-3.052607179E-1,3.548206806E0,1.014303589E1,1.075007594E1
1.009096059E1,-1.915361360E-2,2.888604403E0,9.410409927E0,9.843790797E0
1.010095738E1,-5.231330991E-1,3.536235809E0,1.042435455E1,1.102024500E1
1.011095478E1,-2.178723514E-1,3.320757866E0,1.012388229E1,1.065682382E1
1.012094848E1,-3.830722719E-2,3.057395458E0,9.879673004E0,1.034200527E1
1.013092633E1,-1.460463107E-1,3.464409828E0,9.993397713E0,1.057787610E1
1.014092325E1,6.260837317E-1,3.167528868E0,9.837775230E0,1.035408332E1
1.015102871E1,8.259996027E-2,2.777273893E0,9.349357605E0,9.753489666E0
1.016096294E1,-1.233013868E-1,3.209427357E0,9.126696587E0,9.675340706E0
1.017094056E1,5.530605912E-1,2.857479811E0,9.701305389E0,1.012849412E1
1.018097887E1,-1.436520964E-1,2.993949175E0,9.394847870E0,9.861416434E0
1.019093852E1,-4.429273307E-2,3.458424330E0,9.712079048E0,1.030956547E1
1.020096035E1,-1.149216816E-1,2.869450808E0,9.713275909E0,1.012890339E1
1.021095376E1,-4.249708056E-1,3.239354849E0,1.039801788E1,1.089921079E1
1.022094147E1,1.795651317E-1,3.161543369E0,9.868899345E0,1.036449586E1
1.023096432E1,-3.459621370E-1,3.812766314E0,1.026753426E1,1.095806262E1
1.024099725E1,3.375824392E-1,2.784456491E0,9.302670479E0,9.716318124E0
1.025094771E1,-1.053448766E-1,3.815160513E0,9.823410034E0,1.053878228E1
1.026091194E1,5.638344884E-1,2.521094322E0,7.729680061E0,8.149955814E0
1.027092856E1,-8.379705995E-2,3.372233152E0,1.035611916E1,1.089165655E1
1.028094837E1,1.005564705E-1,3.519476414E0,9.074024200E0,9.733177334E0
1.029095827E1,2.214636505E-1,2.894589901E0,9.058462143E0,9.512278026E0
1.030095522E1,-1.975216419E-1,2.712630510E0,1.030703831E1,1.065985074E1
1.031099470E1,1.089361757E-1,3.311181068E0,1.014064121E1,1.066810158E1
1.032095744E1,1.843535304E-1,2.618059635E0,9.469067574E0,9.826060410E0
1.033094931E1,-5.518634915E-1,3.169923067E0,1.001374817E1,1.051799021E1
1.034092474E1,5.410895944E-1,3.050212860E0,1.006642151E1,1.053230357E1
1.035098046E1,-1.867477298E-1,3.301604033E0,9.252392769E0,9.825590865E0
1.036115132E1,-1.209071875E-1,3.581725836E0,1.018253994E1,1.079479032E1
1.037103325E1,-1.975216419E-1,2.952050686E0,9.442731857E0,9.895393018E0
1.038096771E1,7.781155407E-2,3.491943121E0,9.111134529E0,9.757688958E0
1.039095694E1,2.035071403E-1,2.755726099E0,9.891644478E0,1.027034916E1
1.040099006E1,-3.483563364E-1,2.981978178E0,9.671378136E0,1.012665300E1
1.041094762E1,-5.147533491E-2,2.811989784E0,9.306262016E0,9.721957055E0
1.042091390E1,-1.197100803E-2,3.331531763E0,9.733627319E0,1.028799047E1
1.043090104E1,-2.992752194E-2,2.795230389E0,9.959878922E0,1.034472797E1
1.044098811E1,2.382230759E-1,3.265691042E0,9.953893661E0,1.047862048E1
1.045109164E1,-8.499415964E-2,3.372233152E0,9.409213066E0,9.995622590E0
1.046144991E1,8.738835901E-2,3.034650564E0,1.029267311E1,1.073106987E1
1.047119854E1,3.280056417E-1,3.082534790E0,1.035851383E1,1.081241958E1
1.048134936E1,-3.950432688E-2,3.288435936E0,9.706093788E0,1.024810364E1
1.049112727E1,2.274491638E-1,3.213018656E0,1.023401546E1,1.072894657E1
1.050107622E1,1.999158412E-1,2.647987127E0,9.963470459E0,1.031128245E1
1.051101320E1,2.118868530E-1,2.966415882E0,9.557653427E0,1.000965825E1
1.052096869E1,-4.321534038E-1,2.949656487E0,9.858125687E0,1.029902287E1
1.053095093E1,1.556231081E-2,3.010708570E0,9.785101891E0,1.023781360E1
1.054094155E1,-4.429273307E-2,3.400963545E0,9.926360130E0,1.049290905E1
1.055092936E1,-8.511387110E-1,2.913743496E0,9.369708061E0,9.849150594E0
1.056094727E1,2.226607651E-1,3.801992416E0,1.106360626E1,1.170077381E1
1.057094072E1,3.770867586E-1,2.828749418E0,9.700108528E0,1.011118802E1
1.058093895E1,-9.002198577E-1,3.282450438E0,1.099178028E1,1.150669850E1
1.059093956E1,4.584896266E-1,3.184288263E0,1.051892471E1,1.099989462E1
1.060090987E1,-2.035071403E-1,2.590526342E0,9.567230225E0,9.913835588E0
1.061092802E1,-8.379705995E-2,2.715024710E0,1.043512821E1,1.078286984E1
1.062096610E1,2.609679997E-1,3.362656355E0,1.071405220E1,1.123238517E1
1.063096564E1,2.274491638E-2,2.952050686E0,9.266757965E0,9.725632307E0
1.064094341E1,-3.950432688E-2,3.790021181E0,9.103952408E0,9.861428425E0
1.065098329E1,5.614402890E-1,2.694674015E0,8.820239067E0,9.239756514E0
1.066092173E1,-1.987187415E-1,2.896984100E0,9.202114105E0,9.649399464E0
1.067093245E1,3.136404157E-1,3.524264812E0,9.288305283E0,9.939387698E0
1.068100332E1,2.406172752E-1,2.554613113E0,8.950722694E0,9.311250270E0
1.069105974E1,-8.367735147E-1,3.489548922E0,1.012388229E1,1.074104903E1
1.070095046E1,1.568202078E-1,3.020285368E0,1.013465595E1,1.057629271E1
1.071091882E1,-2.513911761E-2,3.070563793E0,9.038111687E0,9.545494060E0
1.072100950E1,-2.226607651E-1,2.306813240E0,9.524134636E0,9.802045996E0
1.073096934E1,-3.399766386E-1,3.295618534E0,1.193868637E1,1.238987159E1
1.074094326E1,1.221042871E-1,3.379415751E0,1.028668785E1,1.082826428E1
1.075097172E1,1.065419763E-1,3.585317135E0,1.083735371E1,1.141551950E1
1.076099545E1,4.309562966E-2,3.590105534E0,9.996989250E0,1.062217064E1
1.077097881E1,7.086837292E-1,2.282871246E0,9.106346130E0,9.414843260E0
1.078119899E1,7.098808289E-1,2.880224705E0,8.948328972E0,9.427206189E0
1.079105308E1,-5.710170865E-1,3.414131641E0,8.328230858E0,9.018968045E0
1.080097013E1,2.873041928E-1,3.032256365E0,8.746018410E0,9.261207285E0
1.081098965E1,1.436521020E-2,2.541445017E0,9.543288231E0,9.875904991E0
1.082095991E1,-5.913678408E-1,3.149572372E0,9.275136948E0,9.813138512E0
1.083094354E1,1.209071875E-1,2.767697096E0,9.490615845E0,9.886685738E0
1.084095086E1,-2.717418969E-1,2.734178305E0,8.943540573E0,9.356093877E0
1.085092802E1,-1.915361285E-1,3.323152065E0,9.605537415E0,1.016594190E1
1.086091810E1,-3.794809580E-1,3.052607059E0,9.637859344E0,1.011685467E1
1.087092564E1,-2.932897210E-1,2.941276789E0,9.026140213E0,9.497806860E0
1.088087991E1,2.394201700E-3,3.448847532E0,9.290699959E0,9.910179653E0
1.089090104E1,3.004723191E-1,3.098097086E0,9.586383820E0,1.007904975E1
1.090108311E1,-2.238578647E-1,3.575740337E0,9.706093788E0,1.034622095E1
1.091098914E1,2.956839204E-1,3.190273762E0,9.516951561E0,1.004179479E1
1.092095266E1,-1.568202078E-1,3.254917145E0,9.799467087E0,1.032708252E1
1.093089142E1,-3.830722719E-2,3.080140591E0,1.008078671E1,1.054091998E1
1.094098930E1,2.166752517E-1,2.595314741E0,1.047942066E1,1.079818800E1
1.095094674E1,-2.789244950E-1,3.268085241E0,1.127549267E1,1.174286655E1
1.096094046E1,-6.105214357E-2,3.275267839E0,1.074158573E1,1.122999425E1
1.097091982E1,6.105214357E-1,2.960430384E0,9.214085579E0,9.697229374E0
1.098091450E1,-4.189852998E-2,2.998737574E0,9.453505516E0,9.917809691E0
1.099090884E1,6.967126727E-1,2.869450808E0,8.627506256E0,9.118827813E0
1.100097951E1,4.369418025E-1,2.736572504E0,8.291120529E0,8.741992155E0
1.101090984E1,-5.195417404E-1,3.135207176E0,8.384494781E0,8.966560121E0
1.102098601E1,1.651999205E-1,3.391386747E0,9.342175484E0,9.940072326E0
1.103097109E1,-5.099649429E-1,3.039438963E0,8.980650902E0,9.494753502E0
1.104104463E1,-6.057330370E-1,3.394978046E0,8.696937561E0,9.355720784E0
1.105098190E1,-3.687070608E-1,2.928108692E0,9.099164009E0,9.565801120E0
1.106104304E1,-3.124433160E-1,3.137601376E0,9.736021042E0,1.023387849E1
1.107106711E1,-5.386953801E-2,3.444059134E0,1.113303757E1,1.165371060E1
1.108099364E1,1.005564705E-1,3.702632904E0,9.880870819E0,1.055230829E1
1.109094041E1,2.250549644E-1,3.227383852E0,9.575610161E0,1.010737187E1
1.110093379E1,1.723825186E-1,2.683900118E0,1.012388229E1,1.047501925E1
1.111093898E1,6.931213737E-1,3.224989653E0,1.087087250E1,1.136031885E1
1.112093858E1,7.134721279E-1,2.978386879E0,9.647436142E0,1.012189977E1
1.113093438E1,1.532289088E-1,3.242946148E0,1.030943298E1,1.080854233E1
1.114097878E1,2.777273953E-1,3.102885485E0,1.005205631E1,1.052372876E1
1.115093448E1,-2.992752194E-2,3.001131773E0,9.363722801E0,9.832954402E0
1.116092033E1,-2.561795712E-1,3.433285236E0,9.928754807E0,1.050872245E1
1.117106975E1,-3.196259141E-1,2.876633406E0,9.914389610E0,1.032822840E1
1.118099646E1,-1.699883193E-1,3.308786631E0,9.938331604E0,1.047603933E1
1.119104532E1,2.094926536E-1,3.059789658E0,9.170989990E0,9.670225298E0
1.120110975E1,9.816227108E-2,2.735375404E0,8.960299492E0,9.369038447E0
1.121108446E1,1.544260085E-1,2.964021683E0,9.688137054E0,1.013258464E1
1.122101732E1,3.770867586E-1,2.783259392E0,8.789113998E0,9.226984997E0
1.123107575E1,8.020575345E-2,3.269282341E0,9.719262123E0,1.025469142E1
1.124097846E1,-2.861070931E-1,3.250128746E0,9.964667320E0,1.048521764E1
1.125093132E1,-4.070143029E-2,2.911349297E0,9.621099472E0,1.005202300E1
1.126100025E1,-9.241618514E-1,3.324349165E0,1.060391903E1,1.115116457E1
1.127095771E1,1.029506698E-1,3.118447781E0,1.044231033E1,1.089849350E1
1.128099044E1,-5.542576909E-1,2.881421804E0,1.076552773E1,1.115824271E1
1.129097581E1,1.867477298E-1,3.706224203E0,1.157357121E1,1.215395092E1
1.130098999E1,8.774749041E-1,2.701856613E0,1.006163311E1,1.045497261E1
1.131103008E1,-1.221042871E-1,3.633201122E0,1.024598598E1,1.087176566E1
1.132094863E1,7.924807668E-1,3.090914488E0,1.074398041E1,1.120780501E1
1.133092290E1,2.454056740E-1,3.203441858E0,9.278728485E0,9.819219215E0
1.134089804E1,2.322375625E-1,3.368641853E0,1.069609642E1,1.121642371E1
1.135087211E1,1.843535304E-1,2.652775526E0,9.179368973E0,9.556778691E0
1.136095214E1,-1.101332754E-1,2.985569477E0,9.774328232E0,1.022072634E1
1.137101616E1,-1.340752989E-1,2.804807186E0,1.065300083E1,1.101686644E1
1.138103667E1,-1.831564307E-1,3.348291159E0,9.856928825E0,1.041170715E1
1.139096142E1,-2.059013397E-1,2.728192806E0,9.872490883E0,1.024458430E1
1.140107530E1,-1.023521185E0,3.515885115E0,1.040879154E1,1.103412820E1
1.141096774E1,4.836287498E-1,2.862268209E0,9.212887764E0,9.659388025E0
1.145103421E1,-1.807622313E-1,3.008314371E0,1.025795746E1,1.069150698E1
1.146105719E1,-2.286462635E-1,2.990357876E0,9.908403397E0,1.035234163E1
1.147116768E1,1.807622313E-1,2.717418909E0,1.014542961E1,1.050460768E1
1.148106543E1,-1.807622313E-1,3.412934542E0,1.065539455E1,1.119009519E1
1.149098930E1,-2.873041928E-1,3.022679567E0,1.018732834E1,1.063018317E1
1.150167324E1,-1.628057212E-1,3.532644510E0,1.069370174E1,1.126327394E1
1.151129871E1,-1.544260085E-1,2.412158251E0,8.987833023E0,9.307174505E0
1.152109094E1,-3.830722719E-2,3.892971992E0,1.059673691E1,1.128926621E1
1.153101756E1,7.098808289E-1,2.376245260E0,9.458293915E0,9.778026187E0
1.154096437E1,1.855506301E-1,3.477577925E0,9.623494148E0,1.023423748E1
1.155092877E1,-2.047042400E-1,3.087323189E0,9.218873978E0,9.724253478E0
1.156089397E1,1.699883193E-1,3.007117271E0,9.236829758E0,9.715486312E0
1.157119557E1,-2.693476975E-1,3.065775394E0,9.637859344E0,1.011730496E1
1.158116488E1,4.309562966E-2,3.459621429E0,9.740809441E0,1.033703082E1
1.159104752E1,-5.578489900E-1,2.729389906E0,8.841787338E0,9.270273356E0
1.160100285E1,-2.896983922E-1,3.412934542E0,1.008318043E1,1.064906451E1
1.161108851E1,-2.980781198E-1,3.901351690E0,1.068292809E1,1.137692173E1
1.162098984E1,-1.113303825E-1,2.679111719E0,9.381679535E0,9.757353379E0
1.163096801E1,-3.866635859E-1,3.792415380E0,1.013824749E1,1.083125040E1
1.164090809E1,-3.722983599E-1,2.743755102E0,9.154230118E0,9.563823879E0
1.165092513E1,3.603273630E-1,3.345896959E0,9.452308655E0,1.003349397E1
1.166098816E1,-3.471592441E-2,2.983175278E0,9.566033363E0,1.002045579E1
1.167103316E1,-3.603273630E-1,3.228580952E0,9.173383713E0,9.731625738E0
1.168098867E1,1.663970202E-1,2.627636433E0,8.863334656E0,9.246126887E0
1.169092792E1,1.316810995E-1,3.207033157E0,9.392453194E0,9.925753300E0
1.170092455E1,-1.771709323E-1,2.849100113E0,9.437943459E0,9.860199679E0
1.171089886E1,3.411737382E-1,2.960430384E0,8.611943245E0,9.112964064E0
1.172091302E1,-6.320692301E-1,3.183091164E0,9.749189377E0,1.027512892E1
1.173097560E1,-2.454056740E-1,3.162740469E0,1.114860058E1,1.159113653E1
1.174097139E1,-1.867477298E-1,3.157952070E0,9.145850182E0,9.677505440E0
1.175105078E1,8.619125932E-2,3.309983969E0,1.002093124E1,1.055379012E1
1.176100098E1,-7.302315533E-2,2.966415882E0,9.979032516E0,1.041086190E1
1.177097558E1,5.530605912E-1,2.900575399E0,9.339780807E0,9.795443798E0
1.178105238E1,-2.741360962E-1,3.162740469E0,9.484629631E0,1.000181369E1
1.179101478E1,-1.843535304E-1,2.990357876E0,9.539696693E0,9.999101932E0
1.180102698E1,-1.244984865E-1,3.679888010E0,1.013345909E1,1.078165427E1
1.181122158E1,-2.657563984E-1,3.156754971E0,9.630676270E0,1.013832599E1
1.182108988E1,7.541735470E-2,2.870647907E0,9.042900085E0,9.487905414E0
1.183110753E1,-2.956839204E-1,3.174711466E0,1.035013390E1,1.083011974E1
1.184101335E1,-2.154781483E-2,3.027467966E0,9.580398560E0,1.004739086E1
1.185102076E1,-2.286462635E-1,2.913743496E0,9.228450775E0,9.680210947E0
1.186093497E1,-7.146692276E-1,3.375824451E0,1.060631371E1,1.115351215E1
1.187091057E1,7.086837292E-1,2.590526342E0,9.538499832E0,9.909391425E0
1.188092187E1,-6.380547285E-1,3.562572241E0,9.901221275E0,1.054197408E1
1.189100552E1,3.327940404E-1,3.362656355E0,1.019810200E1,1.074334650E1
1.190096485E1,-5.410895944E-1,2.659958124E0,9.259574890E0,9.649242577E0
1.191096901E1,3.890577853E-1,3.323152065E0,1.059554005E1,1.111126341E1
1.192100009E1,-6.823474914E-2,2.807201385E0,1.032858658E1,1.070349178E1
1.193096914E1,-3.375824392E-1,3.306392431E0,1.044949341E1,1.096531373E1
1.194118566E1,2.837128937E-1,2.960430384E0,1.012747288E1,1.055511004E1
1.195105942E1,1.723825186E-1,3.027467966E0,1.001973438E1,1.046854121E1
1.196103030E1,-5.865794048E-2,3.203441858E0,1.005085850E1,1.054918182E1
1.197102874E1,9.576806426E-2,3.031059265E0,9.591172218E0,1.005917871E1
1.198100646E1,-7.757213712E-1,3.246537447E0,1.037407589E1,1.089785298E1
1.199097132E1,-1.197100803E-2,2.913743496E0,1.038365269E1,1.078472473E1
1.200098174E1,-1.640028208E-1,3.313575268E0,1.030823517E1,1.082896072E1
1.201093896E1,-4.704606235E-1,3.017891169E0,1.040879154E1,1.084766987E1
1.202100357E1,7.900865376E-2,2.780865192E0,1.052850151E1,1.088984838E1
1.203109037E1,-1.005564705E-1,2.911349297E0,1.063983250E1,1.103141432E1
1.204110877E1,2.956839204E-1,2.877830505E0,1.079066753E1,1.117174307E1
1.205102048E1,5.722141862E-1,2.348711967E0,1.015740108E1,1.044110501E1
1.206097632E1,-3.363853395E-1,3.734954596E0,9.793481827E0,1.048691219E1
1.207097825E1,6.464344263E-2,2.436100245E0,7.480683327E0,7.867616298E0
1.208096571E1,-5.865794048E-2,3.651157618E0,9.248801231E0,9.943576666E0
1.209096244E1,-4.908113554E-2,3.641580820E0,8.267178535E0,9.033812084E0
1.210093281E1,1.161187813E-1,3.733757496E0,8.252813339E0,9.058882747E0
1.211090949E1,1.244984865E-1,3.021482468E0,9.050082207E0,9.541951798E0
1.212094383E1,-5.398924947E-1,3.667917013E0,1.063504410E1,1.126273777E1
1.213093050E1,3.363853395E-1,2.574964046E0,9.582792282E0,9.928418951E0
1.214098584E1,-4.273650050E-1,2.559401512E0,1.019570827E1,1.052072451E1
1.215095251E1,-5.027823523E-2,2.085349798E0,1.123958015E1,1.143150794E1
1.216094634E1,2.190694511E-1,3.654748917E0,1.051892471E1,1.113790636E1
1.217091726E1,-1.903390288E-1,3.142389774E0,1.007001209E1,1.055063913E1
1.218095222E1,-2.466027737E-1,4.028244495E0,9.915586472E0,1.070543888E1
1.219100470E1,4.129997790E-1,3.093308687E0,8.588001251E0,9.137444552E0
1.220237294E1,-1.017535701E-1,4.119224072E0,9.801861763E0,1.063272565E1
1.221164956E1,-2.166752517E-1,2.962824583E0,8.283937454E0,8.800505521E0
1.222128387E1,1.005564705E-1,2.580949545E0,8.151060104E0,8.550508346E0
1.223112752E1,-2.418143749E-1,2.604891539E0,7.750030994E0,8.179664696E0
1.224104585E1,8.379705995E-2,1.444900751E0,8.245630264E0,8.371689112E0
1.225107501E1,-3.064578176E-1,3.113659382E0,9.431957245E0,9.937334080E0
1.226100709E1,7.505822182E-1,2.416946650E0,8.722076416E0,9.081829209E0
1.227096214E1,-6.991068721E-1,3.074155092E0,9.563638687E0,1.006987412E1
1.228092066E1,-5.267243981E-1,2.639607430E0,8.763975143E0,9.168000125E0
1.229092242E1,2.849099934E-1,3.251325846E0,1.117493629E1,1.164179946E1
1.230091880E1,2.501940727E-1,3.932476282E0,1.058237171E1,1.129219013E1
1.231093999E1,-1.292868853E-1,3.263296843E0,9.500192642E0,1.004586888E1
1.232113758E1,-1.197100878E-1,3.423708439E0,9.424775124E0,1.002808537E1
1.233106388E1,-1.029506698E-1,3.933673382E0,9.484629631E0,1.026852396E1
1.234102103E1,-3.112462163E-2,2.322375536E0,7.429207802E0,7.783798908E0
1.235097460E1,9.457096457E-2,3.094505787E0,9.691728592E0,1.017420822E1
1.236094139E1,1.268926859E-1,3.763684988E0,1.092474270E1,1.155558001E1
1.237105528E1,-3.280056417E-1,2.902969599E0,7.587224960E0,8.130240021E0
1.238100823E1,2.238578647E-1,2.686294317E0,8.966285706E0,9.362722299E0
1.239105920E1,-1.019929886E0,2.913743496E0,1.069370174E1,1.113038252E1
1.240106419E1,1.675941236E-2,2.771288395E0,9.227252960E0,9.634444324E0
1.241099618E1,-2.729389966E-1,3.423708439E0,1.030105305E1,1.085854360E1
1.242096768E1,-1.675941199E-1,2.505532026E0,1.003409958E1,1.034354547E1
1.243090393E1,-5.398924947E-1,3.155557871E0,9.931148529E0,1.043440178E1
